FIELD POSITION,ATTRIBUTE NAME,DATA TYPE & FORMAT,MAX LENGTH
1,Loan Sequence Number,Alpha Numeric - PYYQnXXXXXXX,12
2,Monthly Reporting Period,Date,6
3,Current Actual UPB,"Numeric - 12,2",12
4,Current Loan Delinquency Status,Alpha Numeric,3
5,Loan Age,Numeric ,3
6,Remaining Months to Legal Maturity,Numeric ,3
7,Defect Settlement Date,Date,6
8,Modification Flag,Alpha,1
9,Zero Balance Code,Numeric,2
10,Zero Balance Effective Date,Date,6
11,Current Interest Rate,"Numeric - 8,3",8
12,Current Deferred UPB,Numeric,12
13,Due Date of Last Paid Installment (DDLPI),Date,6
14,MI Recoveries,"Numeric - 12,2",12
15,Net Sales Proceeds,Alpha-Numeric ,14
16,Non MI Recoveries,"Numeric - 12,2",12
17,Expenses,"Numeric - 12,2",12
18,Legal Costs,"Numeric - 12,2",12
19,Maintenance and Preservation Costs,"Numeric - 12,2",12
20,Taxes and Insurance,"Numeric - 12,2",12
21,Miscellaneous Expenses,"Numeric - 12,2",12
22,Actual Loss Calculation,"Numeric - 12,2",12
23,Modification Cost,"Numeric - 12,2",12
24,Step Modification Flag,Alpha,1
25,Deferred Payment Plan,Alpha,1
26,Estimated Loan-to-Value (ELTV),Numeric,4
27,Zero Balance Removal UPB,"Numeric - 12,2",12
28,Delinquent Accrued Interest,"Numeric - 12,2",12
29,Delinquency Due to Disaster,Alpha,1
30,Borrower Assistance Status Code,Alpha,1
31,Current Month Modification Cost,"Numeric - 12,2",12
32,Interest Bearing UPB,"Numeric - 12,2",12
